time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
2.7258	0.35814	0.13000	0.070886	58.361	59.442
4.6338	0.35814	0.13000	0.061568	67.194	59.442
12.130	0.35814	0.13000	0.12768	32.401	59.442
13.765	0.35814	0.13000	0.042651	96.996	59.442
35.844	0.35814	0.13000	0.094640	43.713	59.442
37.071	0.35814	0.13000	0.072674	56.926	59.442
43.885	0.35814	0.13000	0.047782	86.580	59.442
53.289	0.35814	0.13000	0.078650	52.600	59.442
59.422	0.35814	0.13000	0.087417	47.325	59.442
60.921	0.35814	0.13000	0.033748	122.58	59.442
67.736	0.35814	0.13000	0.032499	127.30	59.442
84.635	0.35814	0.13000	0.14494	28.543	59.442
85.862	0.35814	0.13000	0.068887	60.055	59.442
104.53	0.35814	0.13000	0.038566	107.27	59.442
113.66	0.35814	0.13000	0.061009	67.810	59.442
121.16	0.35814	0.13000	0.067762	61.052	59.442
122.66	0.35814	0.13000	0.058124	71.175	59.442
130.70	0.35814	0.13000	0.16430	25.179	59.442
131.79	0.35814	0.13000	0.098010	42.210	59.442
141.06	0.35814	0.13000	0.24479	16.900	59.442
142.29	0.35814	0.13000	0.23313	17.746	59.442
153.73	0.35814	0.13000	0.26444	15.644	59.442
154.96	0.35814	0.13000	0.33540	12.335	59.442
178.40	0.35814	0.13000	0.056079	73.771	59.442
185.90	0.35814	0.13000	0.075726	54.631	59.442
196.53	0.35814	0.13000	0.052676	78.537	59.442
205.52	0.35814	0.13000	0.080836	51.178	59.442
211.52	0.35814	0.13000	0.091421	45.252	59.442
213.29	0.35814	0.13000	0.10549	39.217	59.442
226.92	0.35814	0.13000	0.033695	122.78	59.442
