time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
0.69939	6.9115	0.13000	1.7068	2.4239	3.9790
0.97914	6.9115	0.13000	1.2040	3.4361	3.9790
2.0982	6.9115	0.13000	1.7536	2.3592	3.9790
2.3779	6.9115	0.13000	2.1653	1.9106	3.9790
3.3571	6.9115	0.13000	1.2490	3.3122	3.9790
4.3362	6.9115	0.13000	0.49931	8.2854	3.9790
4.4761	6.9115	0.13000	0.76077	5.4379	3.9790
5.3153	6.9115	0.13000	0.12145	34.062	3.9790
5.4552	6.9115	0.13000	1.1130	3.7169	3.9790
6.0147	6.9115	0.13000	1.9512	2.1203	3.9790
6.4344	6.9115	0.13000	1.2780	3.2372	3.9790
6.8540	6.9115	0.13000	0.53637	7.7129	3.9790
7.4135	6.9115	0.13000	1.2887	3.2102	3.9790
7.6932	6.9115	0.13000	1.5398	2.6868	3.9790
8.3926	6.9115	0.13000	2.0913	1.9782	3.9790
8.6724	6.9115	0.13000	1.2666	3.2661	3.9790
9.3718	6.9115	0.13000	0.96778	4.2747	3.9790
9.7914	6.9115	0.13000	0.96339	4.2942	3.9790
10.071	6.9115	0.13000	1.3808	2.9960	3.9790
10.771	6.9115	0.13000	0.80689	5.1271	3.9790
11.050	6.9115	0.13000	1.0711	3.8623	3.9790
11.610	6.9115	0.13000	0.49672	8.3286	3.9790
12.169	6.9115	0.13000	0.88672	4.6655	3.9790
12.589	6.9115	0.13000	1.1057	3.7416	3.9790
13.148	6.9115	0.13000	1.2133	3.4096	3.9790
13.428	6.9115	0.13000	1.5541	2.6619	3.9790
14.128	6.9115	0.13000	1.8426	2.2452	3.9790
14.407	6.9115	0.13000	1.1004	3.7595	3.9790
15.526	6.9115	0.13000	0.78059	5.2998	3.9790
15.806	6.9115	0.13000	1.4139	2.9260	3.9790
16.506	6.9115	0.13000	1.6809	2.4611	3.9790
16.785	6.9115	0.13000	1.2410	3.3335	3.9790
17.485	6.9115	0.13000	1.6390	2.5241	3.9790
17.764	6.9115	0.13000	1.1343	3.6473	3.9790
18.464	6.9115	0.13000	1.0209	4.0523	3.9790
18.744	6.9115	0.13000	0.87112	4.7491	3.9790
19.443	6.9115	0.13000	1.5356	2.6941	3.9790
19.723	6.9115	0.13000	0.44059	9.3896	3.9790
20.422	6.9115	0.13000	1.5649	2.6437	3.9790
20.702	6.9115	0.13000	1.0083	4.1028	3.9790
21.261	6.9115	0.13000	0.30395	13.611	3.9790
21.681	6.9115	0.13000	0.70336	5.8818	3.9790
21.821	6.9115	0.13000	1.2600	3.2833	3.9790
22.240	6.9115	0.13000	1.7079	2.4222	3.9790
22.800	6.9115	0.13000	1.8383	2.2505	3.9790
23.080	6.9115	0.13000	1.4735	2.8075	3.9790
23.779	6.9115	0.13000	0.75639	5.4694	3.9790
24.059	6.9115	0.13000	0.83882	4.9320	3.9790
24.618	6.9115	0.13000	0.47215	8.7620	3.9790
24.758	6.9115	0.13000	0.98448	4.2022	3.9790
25.178	6.9115	0.13000	0.88562	4.6713	3.9790
25.458	6.9115	0.13000	1.5525	2.6647	3.9790
26.157	6.9115	0.13000	1.7563	2.3555	3.9790
26.437	6.9115	0.13000	1.5150	2.7306	3.9790
27.136	6.9115	0.13000	1.1445	3.6147	3.9790
27.416	6.9115	0.13000	0.99376	4.1630	3.9790
27.556	6.9115	0.13000	0.63661	6.4984	3.9790
28.535	6.9115	0.13000	1.4876	2.7810	3.9790
28.815	6.9115	0.13000	1.7819	2.3217	3.9790
29.514	6.9115	0.13000	1.6733	2.4723	3.9790
29.794	6.9115	0.13000	0.93752	4.4127	3.9790
30.493	6.9115	0.13000	2.1031	1.9671	3.9790
30.773	6.9115	0.13000	1.2724	3.2514	3.9790
31.472	6.9115	0.13000	1.0972	3.7706	3.9790
31.752	6.9115	0.13000	0.63486	6.5164	3.9790
32.312	6.9115	0.13000	0.41235	10.033	3.9790
32.452	6.9115	0.13000	2.0615	2.0068	3.9790
32.871	6.9115	0.13000	1.5332	2.6982	3.9790
33.151	6.9115	0.13000	1.0719	3.8596	3.9790
33.850	6.9115	0.13000	1.7740	2.3320	3.9790
34.130	6.9115	0.13000	1.0979	3.7680	3.9790
35.249	6.9115	0.13000	1.7823	2.3212	3.9790
35.529	6.9115	0.13000	0.83312	4.9657	3.9790
36.228	6.9115	0.13000	1.3262	3.1195	3.9790
36.508	6.9115	0.13000	1.1319	3.6550	3.9790
