time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
11.056	0.65345	0.13000	0.037850	109.30	21.689
14.649	0.65345	0.13000	0.063588	65.060	21.689
15.340	0.65345	0.13000	0.14310	28.909	21.689
18.933	0.65345	0.13000	0.19846	20.845	21.689
19.624	0.65345	0.13000	0.26221	15.777	21.689
23.632	0.65345	0.13000	0.27868	14.845	21.689
24.185	0.65345	0.13000	0.27880	14.839	21.689
27.502	0.65345	0.13000	0.30177	13.709	21.689
28.055	0.65345	0.13000	0.25467	16.245	21.689
32.062	0.65345	0.13000	0.46636	8.8709	21.689
32.477	0.65345	0.13000	0.51024	8.1080	21.689
37.729	0.65345	0.13000	0.51745	7.9950	21.689
39.111	0.65345	0.13000	0.42627	9.7051	21.689
51.272	0.65345	0.13000	0.30499	13.564	21.689
51.825	0.65345	0.13000	0.22505	18.383	21.689
55.833	0.65345	0.13000	0.56855	7.2764	21.689
56.386	0.65345	0.13000	0.64935	6.3710	21.689
61.361	0.65345	0.13000	0.17057	24.253	21.689
64.678	0.65345	0.13000	0.31259	13.235	21.689
65.092	0.65345	0.13000	0.33070	12.510	21.689
70.344	0.65345	0.13000	0.23037	17.958	21.689
71.173	0.65345	0.13000	0.28716	14.407	21.689
75.872	0.65345	0.13000	0.29251	14.143	21.689
76.563	0.65345	0.13000	0.28795	14.367	21.689
81.538	0.65345	0.13000	0.26927	15.364	21.689
82.229	0.65345	0.13000	0.32057	12.905	21.689
87.066	0.65345	0.13000	0.23742	17.425	21.689
87.757	0.65345	0.13000	0.25625	16.145	21.689
97.293	0.65345	0.13000	0.13227	31.277	21.689
102.41	0.65345	0.13000	0.20399	20.281	21.689
103.24	0.65345	0.13000	0.11896	34.777	21.689
107.66	0.65345	0.13000	0.20793	19.896	21.689
108.35	0.65345	0.13000	0.23923	17.293	21.689
117.47	0.65345	0.13000	0.20865	19.828	21.689
118.44	0.65345	0.13000	0.21977	18.824	21.689
123.00	0.65345	0.13000	0.046365	89.227	21.689
123.69	0.65345	0.13000	0.23468	17.628	21.689
127.97	0.65345	0.13000	0.18330	22.570	21.689
129.08	0.65345	0.13000	0.20114	20.568	21.689
133.50	0.65345	0.13000	0.065855	62.820	21.689
134.19	0.65345	0.13000	0.21003	19.697	21.689
138.34	0.65345	0.13000	0.20757	19.931	21.689
139.31	0.65345	0.13000	0.14272	28.987	21.689
143.73	0.65345	0.13000	0.20327	20.353	21.689
144.56	0.65345	0.13000	0.054502	75.906	21.689
148.98	0.65345	0.13000	0.27033	15.304	21.689
149.67	0.65345	0.13000	0.28206	14.667	21.689
154.51	0.65345	0.13000	0.43736	9.4591	21.689
156.30	0.65345	0.13000	0.62683	6.5999	21.689
158.10	0.65345	0.13000	0.30414	13.602	21.689
161.69	0.65345	0.13000	0.34724	11.914	21.689
162.38	0.65345	0.13000	0.26176	15.805	21.689
167.36	0.65345	0.13000	0.28232	14.654	21.689
167.91	0.65345	0.13000	0.28545	14.493	21.689
173.03	0.65345	0.13000	0.33553	12.330	21.689
173.86	0.65345	0.13000	0.31519	13.125	21.689
178.83	0.65345	0.13000	0.26196	15.793	21.689
179.52	0.65345	0.13000	0.23849	17.346	21.689
184.36	0.65345	0.13000	0.35262	11.732	21.689
184.91	0.65345	0.13000	0.61162	6.7640	21.689
189.33	0.65345	0.13000	0.61308	6.7479	21.689
189.47	0.65345	0.13000	0.19523	21.190	21.689
192.24	0.65345	0.13000	0.24827	16.664	21.689
192.93	0.65345	0.13000	0.24643	16.788	21.689
197.49	0.65345	0.13000	0.17156	24.113	21.689
198.46	0.65345	0.13000	0.066277	62.420	21.689
202.74	0.65345	0.13000	0.28868	14.331	21.689
203.43	0.65345	0.13000	0.25134	16.460	21.689
208.54	0.65345	0.13000	0.24424	16.939	21.689
209.23	0.65345	0.13000	0.24294	17.029	21.689
213.93	0.65345	0.13000	0.15130	27.343	21.689
214.62	0.65345	0.13000	0.10663	38.799	21.689
218.91	0.65345	0.13000	0.14019	29.509	21.689
219.60	0.65345	0.13000	0.22208	18.629	21.689
224.30	0.65345	0.13000	0.26499	15.612	21.689
224.85	0.65345	0.13000	0.20478	20.202	21.689
229.41	0.65345	0.13000	0.31266	13.232	21.689
230.10	0.65345	0.13000	0.20701	19.985	21.689
234.53	0.65345	0.13000	0.11829	34.975	21.689
240.33	0.65345	0.13000	0.21928	18.867	21.689
240.88	0.65345	0.13000	0.19713	20.987	21.689
246.00	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
	0.65345	0.13000			21.689
