time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
0.52358	2.5133	0.13000	0.76530	5.4057	9.8531
0.78538	2.5133	0.13000	1.2609	3.2811	9.8531
3.1415	2.5133	0.13000	0.30801	13.431	9.8531
4.3196	2.5133	0.13000	0.38657	10.702	9.8531
4.5814	2.5133	0.13000	0.64219	6.4421	9.8531
5.8903	2.5133	0.13000	0.45242	9.1443	9.8531
6.8066	2.5133	0.13000	0.38151	10.844	9.8531
8.1156	2.5133	0.13000	0.29073	14.230	9.8531
8.3774	2.5133	0.13000	0.42833	9.6584	9.8531
9.4245	2.5133	0.13000	0.69259	5.9733	9.8531
9.6863	2.5133	0.13000	0.27932	14.811	9.8531
10.603	2.5133	0.13000	0.73376	5.6380	9.8531
10.864	2.5133	0.13000	0.84270	4.9092	9.8531
11.912	2.5133	0.13000	0.89035	4.6465	9.8531
12.173	2.5133	0.13000	0.38548	10.732	9.8531
13.351	2.5133	0.13000	0.93898	4.4058	9.8531
14.006	2.5133	0.13000	0.85608	4.8325	9.8531
14.660	2.5133	0.13000	0.95283	4.3418	9.8531
14.922	2.5133	0.13000	1.0436	3.9642	9.8531
15.969	2.5133	0.13000	0.55952	7.3939	9.8531
16.231	2.5133	0.13000	0.65273	6.3380	9.8531
17.278	2.5133	0.13000	1.4319	2.8893	9.8531
17.540	2.5133	0.13000	1.3616	3.0382	9.8531
20.027	2.5133	0.13000	0.42268	9.7875	9.8531
20.289	2.5133	0.13000	0.45548	9.0826	9.8531
21.205	2.5133	0.13000	0.39054	10.593	9.8531
21.598	2.5133	0.13000	0.19855	20.836	9.8531
25.001	2.5133	0.13000	0.13280	31.152	9.8531
25.263	2.5133	0.13000	0.28269	14.634	9.8531
26.310	2.5133	0.13000	0.32753	12.631	9.8531
26.572	2.5133	0.13000	0.41808	9.8953	9.8531
28.797	2.5133	0.13000	1.1705	3.5345	9.8531
29.059	2.5133	0.13000	0.79153	5.2266	9.8531
30.237	2.5133	0.13000	0.70826	5.8410	9.8531
30.368	2.5133	0.13000	0.70301	5.8847	9.8531
31.415	2.5133	0.13000	0.51154	8.0874	9.8531
31.677	2.5133	0.13000	0.26401	15.670	9.8531
32.724	2.5133	0.13000	0.56057	7.3800	9.8531
32.855	2.5133	0.13000	0.47609	8.6895	9.8531
34.033	2.5133	0.13000	0.37154	11.135	9.8531
36.520	2.5133	0.13000	1.1720	3.5299	9.8531
36.651	2.5133	0.13000	0.73779	5.6073	9.8531
37.960	2.5133	0.13000	0.74710	5.5374	9.8531
39.138	2.5133	0.13000	0.69111	5.9860	9.8531
39.269	2.5133	0.13000	0.42818	9.6619	9.8531
40.316	2.5133	0.13000	0.50675	8.1637	9.8531
40.578	2.5133	0.13000	0.27532	15.026	9.8531
42.672	2.5133	0.13000	0.75931	5.4484	9.8531
42.934	2.5133	0.13000	0.48258	8.5727	9.8531
45.159	2.5133	0.13000	0.20058	20.625	9.8531
45.421	2.5133	0.13000	0.29896	13.838	9.8531
46.468	2.5133	0.13000	0.24967	16.570	9.8531
47.646	2.5133	0.13000	0.26027	15.895	9.8531
47.908	2.5133	0.13000	0.47911	8.6348	9.8531
48.955	2.5133	0.13000	0.084223	49.119	9.8531
50.133	2.5133	0.13000	0.11620	35.601	9.8531
50.395	2.5133	0.13000	0.23451	17.641	9.8531
52.620	2.5133	0.13000	0.32512	12.725	9.8531
53.929	2.5133	0.13000	1.0698	3.8671	9.8531
55.238	2.5133	0.13000	0.95422	4.3355	9.8531
55.369	2.5133	0.13000	0.58693	7.0485	9.8531
59.165	2.5133	0.13000	0.51679	8.0052	9.8531
60.081	2.5133	0.13000	0.40471	10.222	9.8531
60.474	2.5133	0.13000	0.39150	10.567	9.8531
61.390	2.5133	0.13000	0.28882	14.324	9.8531
61.783	2.5133	0.13000	0.42001	9.8498	9.8531
62.699	2.5133	0.13000	0.33697	12.277	9.8531
62.961	2.5133	0.13000	0.32927	12.564	9.8531
65.186	2.5133	0.13000	0.53527	7.7289	9.8531
65.448	2.5133	0.13000	0.61057	6.7756	9.8531
66.364	2.5133	0.13000	0.13027	31.758	9.8531
66.757	2.5133	0.13000	1.3066	3.1661	9.8531
70.160	2.5133	0.13000	0.55912	7.3992	9.8531
72.647	2.5133	0.13000	0.90059	4.5936	9.8531
73.040	2.5133	0.13000	0.50524	8.1882	9.8531
74.087	2.5133	0.13000	0.36923	11.204	9.8531
74.349	2.5133	0.13000	0.82031	5.0432	9.8531
75.265	2.5133	0.13000	0.45636	9.0653	9.8531
75.527	2.5133	0.13000	0.31208	13.256	9.8531
76.836	2.5133	0.13000	0.36298	11.397	9.8531
78.145	2.5133	0.13000	0.21151	19.559	9.8531
79.323	2.5133	0.13000	0.29454	14.045	9.8531
80.370	2.5133	0.13000	0.33688	12.280	9.8531
80.632	2.5133	0.13000	0.48676	8.4990	9.8531
82.465	2.5133	0.13000	1.3847	2.9877	9.8531
82.857	2.5133	0.13000	0.27294	15.157	9.8531
83.119	2.5133	0.13000	0.42503	9.7334	9.8531
85.344	2.5133	0.13000	0.48044	8.6109	9.8531
85.606	2.5133	0.13000	0.13601	30.417	9.8531
88.093	2.5133	0.13000	0.34717	11.916	9.8531
89.140	2.5133	0.13000	0.25934	15.952	9.8531
90.318	2.5133	0.13000	0.24812	16.673	9.8531
90.580	2.5133	0.13000	0.37687	10.977	9.8531
91.627	2.5133	0.13000	0.56337	7.3433	9.8531
91.889	2.5133	0.13000	0.66291	6.2407	9.8531
92.674	2.5133	0.13000	0.73226	5.6497	9.8531
93.067	2.5133	0.13000	0.10416	39.716	9.8531
94.245	2.5133	0.13000	0.32484	12.735	9.8531
94.376	2.5133	0.13000	0.40751	10.152	9.8531
95.423	2.5133	0.13000	0.27255	15.179	9.8531
95.685	2.5133	0.13000	0.52653	7.8570	9.8531
96.732	2.5133	0.13000	0.29992	13.794	9.8531
97.910	2.5133	0.13000	0.44772	9.2402	9.8531
98.172	2.5133	0.13000	0.34255	12.077	9.8531
99.219	2.5133	0.13000	0.33661	12.290	9.8531
99.481	2.5133	0.13000	0.42438	9.7483	9.8531
100.53	2.5133	0.13000	1.1996	3.4488	9.8531
100.79	2.5133	0.13000	1.2995	3.1836	9.8531
101.97	2.5133	0.13000	0.77062	5.3684	9.8531
102.23	2.5133	0.13000	0.67282	6.1487	9.8531
103.28	2.5133	0.13000	0.65680	6.2987	9.8531
104.59	2.5133	0.13000	0.79034	5.2344	9.8531
104.72	2.5133	0.13000	0.59957	6.9000	9.8531
105.76	2.5133	0.13000	0.65186	6.3464	9.8531
106.03	2.5133	0.13000	0.70103	5.9013	9.8531
107.20	2.5133	0.13000	0.36732	11.263	9.8531
107.33	2.5133	0.13000	0.23815	17.371	9.8531
108.38	2.5133	0.13000	0.59405	6.9640	9.8531
108.64	2.5133	0.13000	0.52134	7.9353	9.8531
109.69	2.5133	0.13000	0.69709	5.9347	9.8531
109.95	2.5133	0.13000	0.19624	21.081	9.8531
112.31	2.5133	0.13000	0.80118	5.1636	9.8531
112.44	2.5133	0.13000	0.93873	4.4070	9.8531
113.62	2.5133	0.13000	1.6398	2.5228	9.8531
113.75	2.5133	0.13000	1.8612	2.2228	9.8531
115.19	2.5133	0.13000	1.7963	2.3030	9.8531
115.45	2.5133	0.13000	1.6916	2.4456	9.8531
117.02	2.5133	0.13000	1.0319	4.0089	9.8531
117.15	2.5133	0.13000	0.75267	5.4964	9.8531
118.33	2.5133	0.13000	1.7572	2.3544	9.8531
118.46	2.5133	0.13000	1.7994	2.2991	9.8531
120.03	2.5133	0.13000	1.3456	3.0744	9.8531
120.29	2.5133	0.13000	1.6614	2.4901	9.8531
121.60	2.5133	0.13000	1.6625	2.4884	9.8531
121.86	2.5133	0.13000	1.4327	2.8875	9.8531
123.17	2.5133	0.13000	0.62537	6.6153	9.8531
123.44	2.5133	0.13000	0.57680	7.1723	9.8531
124.48	2.5133	0.13000	0.42727	9.6823	9.8531
125.79	2.5133	0.13000	0.63292	6.5363	9.8531
125.92	2.5133	0.13000	0.41006	10.089	9.8531
126.97	2.5133	0.13000	0.73273	5.6460	9.8531
127.23	2.5133	0.13000	0.75933	5.4482	9.8531
128.28	2.5133	0.13000	0.22078	18.738	9.8531
128.54	2.5133	0.13000	0.27049	15.295	9.8531
129.59	2.5133	0.13000	0.21529	19.216	9.8531
132.07	2.5133	0.13000	0.46173	8.9597	9.8531
132.73	2.5133	0.13000	1.2213	3.3873	9.8531
133.25	2.5133	0.13000	0.53989	7.6627	9.8531
133.51	2.5133	0.13000	0.64546	6.4094	9.8531
134.56	2.5133	0.13000	0.33953	12.184	9.8531
134.82	2.5133	0.13000	0.39512	10.470	9.8531
135.87	2.5133	0.13000	1.8362	2.2531	9.8531
136.13	2.5133	0.13000	1.9235	2.1507	9.8531
137.70	2.5133	0.13000	1.7985	2.3002	9.8531
138.10	2.5133	0.13000	1.5246	2.7135	9.8531
139.40	2.5133	0.13000	1.9953	2.0734	9.8531
139.67	2.5133	0.13000	2.1189	1.9524	9.8531
141.50	2.5133	0.13000	1.5594	2.6529	9.8531
141.76	2.5133	0.13000	1.6029	2.5809	9.8531
143.20	2.5133	0.13000	1.9105	2.1654	9.8531
143.46	2.5133	0.13000	1.6275	2.5419	9.8531
145.03	2.5133	0.13000	1.3874	2.9819	9.8531
146.47	2.5133	0.13000	1.7993	2.2993	9.8531
146.73	2.5133	0.13000	1.6797	2.4629	9.8531
148.31	2.5133	0.13000	1.2023	3.4410	9.8531
148.57	2.5133	0.13000	1.5946	2.5944	9.8531
149.75	2.5133	0.13000	1.9529	2.1184	9.8531
150.01	2.5133	0.13000	1.9802	2.0892	9.8531
151.71	2.5133	0.13000	1.4504	2.8522	9.8531
151.97	2.5133	0.13000	1.2027	3.4396	9.8531
153.28	2.5133	0.13000	1.5587	2.6541	9.8531
153.54	2.5133	0.13000	1.3659	3.0288	9.8531
154.85	2.5133	0.13000	1.1751	3.5206	9.8531
155.11	2.5133	0.13000	1.7818	2.3218	9.8531
156.29	2.5133	0.13000	0.99996	4.1372	9.8531
157.60	2.5133	0.13000	0.99909	4.1408	9.8531
159.04	2.5133	0.13000	0.67803	6.1015	9.8531
159.30	2.5133	0.13000	0.63417	6.5234	9.8531
160.22	2.5133	0.13000	0.64669	6.3972	9.8531
160.61	2.5133	0.13000	0.35002	11.819	9.8531
161.53	2.5133	0.13000	1.4770	2.8010	9.8531
161.79	2.5133	0.13000	1.4235	2.9063	9.8531
163.10	2.5133	0.13000	1.0894	3.7975	9.8531
163.36	2.5133	0.13000	0.99722	4.1485	9.8531
164.54	2.5133	0.13000	0.44842	9.2257	9.8531
164.67	2.5133	0.13000	0.57644	7.1768	9.8531
165.71	2.5133	0.13000	0.37442	11.049	9.8531
165.98	2.5133	0.13000	0.58115	7.1187	9.8531
167.02	2.5133	0.13000	0.21099	19.607	9.8531
167.29	2.5133	0.13000	0.70673	5.8538	9.8531
168.20	2.5133	0.13000	0.45185	9.1557	9.8531
168.46	2.5133	0.13000	0.63565	6.5083	9.8531
169.77	2.5133	0.13000	0.11408	36.264	9.8531
170.69	2.5133	0.13000	0.76613	5.3998	9.8531
170.95	2.5133	0.13000	0.34306	12.059	9.8531
173.18	2.5133	0.13000	0.60434	6.8455	9.8531
173.57	2.5133	0.13000	0.47368	8.7337	9.8531
174.62	2.5133	0.13000	1.0358	3.9941	9.8531
174.75	2.5133	0.13000	0.58434	7.0798	9.8531
178.41	2.5133	0.13000	0.35502	11.653	9.8531
180.90	2.5133	0.13000	0.67522	6.1269	9.8531
181.16	2.5133	0.13000	0.40797	10.140	9.8531
183.39	2.5133	0.13000	0.66921	6.1819	9.8531
183.65	2.5133	0.13000	0.41559	9.9545	9.8531
184.69	2.5133	0.13000	0.49486	8.3600	9.8531
185.87	2.5133	0.13000	0.12941	31.968	9.8531
186.13	2.5133	0.13000	0.72667	5.6931	9.8531
187.18	2.5133	0.13000	0.76062	5.4390	9.8531
187.44	2.5133	0.13000	0.93983	4.4018	9.8531
189.67	2.5133	0.13000	0.91891	4.5021	9.8531
189.93	2.5133	0.13000	0.86197	4.7995	9.8531
190.98	2.5133	0.13000	0.55564	7.4454	9.8531
191.24	2.5133	0.13000	0.71058	5.8220	9.8531
192.29	2.5133	0.13000	0.29413	14.065	9.8531
192.55	2.5133	0.13000	0.25240	16.391	9.8531
193.86	2.5133	0.13000	0.24748	16.717	9.8531
194.77	2.5133	0.13000	0.56527	7.3186	9.8531
196.08	2.5133	0.13000	0.40910	10.112	9.8531
197.39	2.5133	0.13000	0.33697	12.277	9.8531
197.52	2.5133	0.13000	0.38851	10.648	9.8531
198.83	2.5133	0.13000	0.43874	9.4293	9.8531
