time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
5.1015	1.0053	0.13000	0.30586	13.526	26.615
7.2495	1.0053	0.13000	0.32301	12.808	26.615
7.7865	1.0053	0.13000	0.049930	82.856	26.615
10.069	1.0053	0.13000	0.19017	21.754	26.615
10.472	1.0053	0.13000	0.12772	32.390	26.615
15.305	1.0053	0.13000	0.041976	98.556	26.615
17.990	1.0053	0.13000	0.18052	22.917	26.615
20.675	1.0053	0.13000	0.19677	21.024	26.615
21.077	1.0053	0.13000	0.21742	19.027	26.615
23.360	1.0053	0.13000	0.097422	42.465	26.615
26.716	1.0053	0.13000	0.11067	37.383	26.615
29.401	1.0053	0.13000	0.18153	22.790	26.615
32.757	1.0053	0.13000	0.067804	61.014	26.615
35.845	1.0053	0.13000	0.18893	21.897	26.615
36.382	1.0053	0.13000	0.15071	27.451	26.615
39.201	1.0053	0.13000	0.14286	28.958	26.615
39.604	1.0053	0.13000	0.14652	28.236	26.615
42.826	1.0053	0.13000	0.13803	29.972	26.615
45.645	1.0053	0.13000	0.22535	18.358	26.615
46.048	1.0053	0.13000	0.095805	43.182	26.615
48.867	1.0053	0.13000	0.17696	23.379	26.615
49.270	1.0053	0.13000	0.10148	40.769	26.615
52.492	1.0053	0.13000	0.13840	29.891	26.615
55.311	1.0053	0.13000	0.090958	45.482	26.615
58.533	1.0053	0.13000	0.099175	41.714	26.615
58.936	1.0053	0.13000	0.18347	22.549	26.615
61.621	1.0053	0.13000	0.14833	27.891	26.615
67.931	1.0053	0.13000	0.16681	24.801	26.615
68.468	1.0053	0.13000	0.17218	24.028	26.615
71.690	1.0053	0.13000	0.037963	108.98	26.615
74.509	1.0053	0.13000	0.068641	60.270	26.615
77.731	1.0053	0.13000	0.14620	28.296	26.615
80.953	1.0053	0.13000	0.17089	24.208	26.615
81.356	1.0053	0.13000	0.11434	36.182	26.615
84.175	1.0053	0.13000	0.033405	123.84	26.615
87.397	1.0053	0.13000	0.27181	15.220	26.615
87.800	1.0053	0.13000	0.25312	16.344	26.615
90.888	1.0053	0.13000	0.60835	6.8004	26.615
91.290	1.0053	0.13000	0.66846	6.1888	26.615
95.049	1.0053	0.13000	0.49878	8.2942	26.615
95.452	1.0053	0.13000	0.41578	9.9499	26.615
99.077	1.0053	0.13000	0.060759	68.089	26.615
104.58	1.0053	0.13000	0.42532	9.7269	26.615
105.25	1.0053	0.13000	0.26559	15.577	26.615
108.21	1.0053	0.13000	0.49114	8.4233	26.615
108.74	1.0053	0.13000	0.48556	8.5200	26.615
111.83	1.0053	0.13000	0.20329	20.350	26.615
112.37	1.0053	0.13000	0.15224	27.174	26.615
115.59	1.0053	0.13000	0.073187	56.527	26.615
118.27	1.0053	0.13000	0.11874	34.841	26.615
118.95	1.0053	0.13000	0.30151	13.721	26.615
125.26	1.0053	0.13000	0.15607	26.507	26.615
131.70	1.0053	0.13000	0.17987	23.000	26.615
137.47	1.0053	0.13000	0.30091	13.748	26.615
138.01	1.0053	0.13000	0.16151	25.614	26.615
140.69	1.0053	0.13000	0.20933	19.763	26.615
141.37	1.0053	0.13000	0.080207	51.579	26.615
144.05	1.0053	0.13000	0.080064	51.671	26.615
144.59	1.0053	0.13000	0.14856	27.847	26.615
147.27	1.0053	0.13000	0.21276	19.444	26.615
150.63	1.0053	0.13000	0.32404	12.767	26.615
151.43	1.0053	0.13000	0.25184	16.427	26.615
154.12	1.0053	0.13000	0.72215	5.7287	26.615
154.66	1.0053	0.13000	0.74056	5.5863	26.615
158.68	1.0053	0.13000	0.48838	8.4708	26.615
159.36	1.0053	0.13000	0.28019	14.765	26.615
162.04	1.0053	0.13000	0.24268	17.047	26.615
162.98	1.0053	0.13000	0.43153	9.5869	26.615
165.67	1.0053	0.13000	0.49804	8.3066	26.615
166.20	1.0053	0.13000	0.42965	9.6287	26.615
169.56	1.0053	0.13000	0.29388	14.077	26.615
169.96	1.0053	0.13000	0.39203	10.553	26.615
172.91	1.0053	0.13000	0.28690	14.420	26.615
173.32	1.0053	0.13000	0.27440	15.077	26.615
176.41	1.0053	0.13000	0.41279	10.022	26.615
176.81	1.0053	0.13000	0.32746	12.634	26.615
182.98	1.0053	0.13000	0.48287	8.5675	26.615
183.39	1.0053	0.13000	0.57139	7.2402	26.615
189.83	1.0053	0.13000	0.56784	7.2855	26.615
190.37	1.0053	0.13000	0.35794	11.558	26.615
193.72	1.0053	0.13000	0.18797	22.009	26.615
194.26	1.0053	0.13000	0.16979	24.366	26.615
196.95	1.0053	0.13000	0.18326	22.575	26.615
197.35	1.0053	0.13000	0.32452	12.748	26.615
200.03	1.0053	0.13000	0.32652	12.670	26.615
200.97	1.0053	0.13000	0.038706	106.88	26.615
206.61	1.0053	0.13000	0.17790	23.254	26.615
207.01	1.0053	0.13000	0.059612	69.399	26.615
209.70	1.0053	0.13000	0.32997	12.537	26.615
210.24	1.0053	0.13000	0.20788	19.901	26.615
213.19	1.0053	0.13000	0.24115	17.155	26.615
213.73	1.0053	0.13000	0.28090	14.728	26.615
216.55	1.0053	0.13000	0.50245	8.2336	26.615
217.08	1.0053	0.13000	0.40615	10.186	26.615
220.44	1.0053	0.13000	0.41510	9.9662	26.615
220.84	1.0053	0.13000	0.47001	8.8019	26.615
223.80	1.0053	0.13000	0.39942	10.358	26.615
224.20	1.0053	0.13000	0.34203	12.095	26.615
227.29	1.0053	0.13000	0.087011	47.546	26.615
227.69	1.0053	0.13000	0.041059	100.76	26.615
230.51	1.0053	0.13000	0.30104	13.743	26.615
236.28	1.0053	0.13000	0.54905	7.5348	26.615
237.22	1.0053	0.13000	0.32355	12.786	26.615
237.49	1.0053	0.13000	0.29099	14.217	26.615
240.58	1.0053	0.13000			26.615
240.98	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
	1.0053	0.13000			26.615
