time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
12.166	0.55920	0.13000	0.10907	37.929	32.901
17.863	0.55920	0.13000	0.21807	18.971	32.901
18.633	0.55920	0.13000	0.21120	19.588	32.901
24.177	0.55920	0.13000	0.12036	34.371	32.901
24.947	0.55920	0.13000	0.064299	64.340	32.901
34.803	0.55920	0.13000	0.12293	33.653	32.901
46.660	0.55920	0.13000	0.14412	28.705	32.901
51.434	0.55920	0.13000	0.27881	14.838	32.901
52.512	0.55920	0.13000	0.25326	16.335	32.901
58.210	0.55920	0.13000	0.19370	21.358	32.901
58.980	0.55920	0.13000	0.20884	19.809	32.901
64.986	0.55920	0.13000	0.23761	17.411	32.901
69.914	0.55920	0.13000	0.19668	21.034	32.901
70.684	0.55920	0.13000	0.074324	55.662	32.901
75.766	0.55920	0.13000	0.088767	46.605	32.901
76.690	0.55920	0.13000	0.10091	40.998	32.901
92.859	0.55920	0.13000	0.11785	35.103	32.901
93.629	0.55920	0.13000	0.093524	44.235	32.901
99.481	0.55920	0.13000	0.072113	57.368	32.901
110.72	0.55920	0.13000	0.074039	55.876	32.901
115.34	0.55920	0.13000	0.14486	28.558	32.901
116.27	0.55920	0.13000	0.077927	53.088	32.901
121.35	0.55920	0.13000	0.10401	39.775	32.901
127.66	0.55920	0.13000	0.11577	35.734	32.901
132.90	0.55920	0.13000	0.061376	67.404	32.901
137.98	0.55920	0.13000	0.11943	34.640	32.901
138.90	0.55920	0.13000	0.21595	19.157	32.901
150.45	0.55920	0.13000	0.069352	59.652	32.901
155.38	0.55920	0.13000	0.16136	25.638	32.901
156.15	0.55920	0.13000	0.085752	48.244	32.901
161.08	0.55920	0.13000	0.11102	37.264	32.901
162.00	0.55920	0.13000	0.16003	25.852	32.901
167.08	0.55920	0.13000	0.19745	20.952	32.901
173.71	0.55920	0.13000	0.16485	25.095	32.901
179.10	0.55920	0.13000	0.16074	25.737	32.901
179.56	0.55920	0.13000	0.069276	59.718	32.901
184.18	0.55920	0.13000	0.21383	19.347	32.901
184.79	0.55920	0.13000	0.26702	15.493	32.901
185.41	0.55920	0.13000	0.23849	17.346	32.901
191.26	0.55920	0.13000	0.37796	10.946	32.901
191.72	0.55920	0.13000	0.41522	9.9635	32.901
198.65	0.55920	0.13000	0.25768	16.055	32.901
199.73	0.55920	0.13000	0.18105	22.851	32.901
205.12	0.55920	0.13000	0.29918	13.828	32.901
205.74	0.55920	0.13000	0.25973	15.928	32.901
211.74	0.55920	0.13000	0.15856	26.092	32.901
212.36	0.55920	0.13000	0.18055	22.914	32.901
217.59	0.55920	0.13000	0.11777	35.127	32.901
218.36	0.55920	0.13000	0.11090	37.303	32.901
228.84	0.55920	0.13000	0.17195	24.059	32.901
229.45	0.55920	0.13000	0.17204	24.047	32.901
234.69	0.55920	0.13000	0.26313	15.722	32.901
235.77	0.55920	0.13000	0.21534	19.212	32.901
246.85	0.55920	0.13000	0.17139	24.138	32.901
247.62	0.55920	0.13000	0.042760	96.749	32.901
252.24	0.55920	0.13000	0.18590	22.254	32.901
253.17	0.55920	0.13000	0.30638	13.503	32.901
259.02	0.55920	0.13000	0.13370	30.943	32.901
259.64	0.55920	0.13000	0.082007	50.447	32.901
264.41	0.55920	0.13000	0.11935	34.662	32.901
265.49	0.55920	0.13000	0.19210	21.536	32.901
270.57	0.55920	0.13000	0.10952	37.772	32.901
271.34	0.55920	0.13000	0.039836	103.85	32.901
277.04	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
	0.55920	0.13000			32.901
