time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
1.6230	0.40841	0.13000	0.11225	36.856	26.332
7.6726	0.40841	0.13000	0.11725	35.285	26.332
8.7054	0.40841	0.13000	0.098567	41.971	26.332
15.345	0.40841	0.13000	0.25309	16.346	26.332
16.230	0.40841	0.13000	0.28365	14.585	26.332
25.231	0.40841	0.13000	0.10491	39.435	26.332
26.264	0.40841	0.13000	0.16683	24.798	26.332
39.691	0.40841	0.13000	0.14485	28.562	26.332
40.429	0.40841	0.13000	0.11478	36.044	26.332
47.068	0.40841	0.13000	0.15965	25.913	26.332
47.658	0.40841	0.13000	0.18649	22.184	26.332
54.446	0.40841	0.13000	0.035733	115.78	26.332
56.511	0.40841	0.13000	0.066129	62.559	26.332
61.528	0.40841	0.13000	0.12889	32.098	26.332
63.594	0.40841	0.13000	0.060880	67.953	26.332
69.201	0.40841	0.13000	0.10839	38.166	26.332
70.676	0.40841	0.13000	0.13401	30.871	26.332
77.759	0.40841	0.13000	0.27650	14.962	26.332
79.529	0.40841	0.13000	0.23797	17.384	26.332
89.710	0.40841	0.13000	0.26701	15.494	26.332
90.743	0.40841	0.13000	0.29285	14.127	26.332
101.66	0.40841	0.13000	0.23269	17.779	26.332
103.43	0.40841	0.13000	0.18471	22.397	26.332
112.43	0.40841	0.13000	0.20122	20.560	26.332
113.61	0.40841	0.13000	0.21898	18.892	26.332
123.06	0.40841	0.13000	0.21554	19.194	26.332
124.24	0.40841	0.13000	0.22896	18.068	26.332
133.24	0.40841	0.13000	0.18622	22.215	26.332
134.27	0.40841	0.13000	0.14845	27.868	26.332
143.12	0.40841	0.13000	0.23806	17.378	26.332
144.45	0.40841	0.13000	0.26416	15.661	26.332
154.48	0.40841	0.13000	0.15527	26.643	26.332
155.22	0.40841	0.13000	0.17770	23.281	26.332
171.90	0.40841	0.13000	0.29241	14.148	26.332
173.37	0.40841	0.13000	0.26279	15.743	26.332
185.47	0.40841	0.13000	0.30803	13.430	26.332
186.35	0.40841	0.13000	0.32705	12.650	26.332
196.09	0.40841	0.13000	0.22768	18.170	26.332
196.39	0.40841	0.13000	0.25613	16.152	26.332
197.57	0.40841	0.13000	0.27511	15.038	26.332
205.98	0.40841	0.13000	0.24264	17.050	26.332
207.16	0.40841	0.13000	0.17943	23.056	26.332
214.54	0.40841	0.13000	0.16944	24.416	26.332
215.57	0.40841	0.13000	0.13095	31.593	26.332
222.36	0.40841	0.13000	0.22168	18.662	26.332
223.09	0.40841	0.13000	0.25666	16.119	26.332
231.36	0.40841	0.13000	0.21082	19.624	26.332
232.24	0.40841	0.13000	0.17975	23.015	26.332
239.47	0.40841	0.13000	0.14550	28.432	26.332
240.21	0.40841	0.13000	0.14291	28.947	26.332
253.05	0.40841	0.13000	0.20656	20.028	26.332
254.52	0.40841	0.13000	0.13063	31.670	26.332
262.49	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
	0.40841	0.13000			26.332
