"time"	"max"
"1"	0	-0.54098
"2"	0.14904	-0.73454
"3"	0.29808	-0.74233
"4"	0.44712	-0.72059
"5"	0.89425	-0.56599
"6"	1.0433	-0.48465
"7"	1.1923	-0.41654
"8"	1.3414	-0.33039
"9"	3.1299	0.43859
"10"	3.2789	-0.67246
"11"	3.428	-0.62108
"12"	3.577	-0.53122
"13"	3.726	-0.44803
"14"	3.8751	-0.36423
"15"	5.3655	0.44609
"16"	5.8126	0.39403
"17"	5.9617	-0.74104
"18"	6.1107	-0.77321
"19"	6.2597	-0.73378
"20"	6.4088	-0.69158
"21"	6.5578	-0.62008
"22"	6.7069	-0.54532
"23"	6.8559	-0.45912
"24"	8.6444	0.49893
"25"	9.5387	-0.64612
"26"	9.6877	-0.62641
"27"	9.8368	-0.61594
"28"	9.9858	-0.56387
"29"	10.135	-0.46491
"30"	11.923	0.55868
"31"	12.519	-0.30455
"32"	12.669	-0.59031
"33"	12.818	-0.6074
"34"	12.967	-0.58607
"35"	13.116	-0.53806
"36"	13.265	-0.4828
"37"	13.414	-0.42997
"38"	15.351	0.59918
"39"	15.798	0.53324
"40"	15.947	-0.52383
"41"	16.097	-0.60686
"42"	16.246	-0.59085
"43"	16.395	-0.55789
"44"	16.544	-0.49496
"45"	16.693	-0.43336
"46"	18.63	0.68475
"47"	19.226	-0.1025
"48"	19.375	-0.54941
"49"	19.524	-0.55032
"50"	19.674	-0.49957
"51"	19.823	-0.4486
"52"	19.972	-0.37193
"53"	22.058	0.74308
"54"	22.654	-0.30027
"55"	23.101	-0.46485
"56"	23.25	-0.37702
"57"	25.337	0.76749
"58"	26.082	-0.50738
"59"	28.467	0.70615
"60"	28.616	0.72833
"61"	29.063	0.48998
"62"	29.51	-0.54087
"63"	29.659	-0.44797
"64"	31.895	0.81013
"65"	32.342	0.81692
"66"	32.491	-0.22966
"67"	32.64	-0.50571
"68"	32.789	-0.47884
"69"	32.938	-0.40353
"70"	35.323	0.84355
"71"	35.77	0.78549
"72"	35.919	-0.36308
"73"	36.068	-0.35998
"74"	36.217	-0.2874
"75"	38.751	1.1166
"76"	39.347	-0.28184
"77"	42.328	1.1922
"78"	42.477	1.2289
"79"	42.626	1.2512
"80"	45.905	1.5361
"81"	80.632	1.7252
"82"	49.333	1.7549
"83"	52.612	1.8853
"84"	56.04	2.0275
"85"	59.468	2.1671
"86"	62.747	2.1703
"87"	66.025	2.207
"88"	69.155	2.0975
"89"	69.304	2.1463
"90"	72.434	2.0674
"91"	75.713	2.0513
"92"	75.862	2.1152
"93"	82.718	2.5529
"94"	87.04	3.4807
"95"	89.276	3.26
"96"	90.617	4.0001
"97"	95.238	5.1748
"98"	100.45	6.997
"99"	103.88	7.2285
"100"	111.33	11.208
"101"	114.76	11.42
"102"	118.94	12.422
"103"	124.9	15.104
"104"	148	15.535
"105"	132.35	15.741
"106"	132.5	15.813
"107"	139.06	15.951
"108"	149.19	16.264
"109"	152.77	16.484
"110"	171.25	25.517
"111"	179	28.543
"112"	183.47	29.085
"113"	183.62	29.129
"114"	188.24	29.495
"115"	194.35	31.383
"116"	194.5	31.415
"117"	198.82	31.742
"118"	203.89	32.423
"119"	209.25	33.629
"120"	214.47	34.533
"121"	218.05	34.362
"122"	222.52	34.708
"123"	253.82	35.089
"124"	234.59	35.151
"125"	234.74	35.184
"126"	238.62	35.215
"127"	246.66	35.243
"128"	238.91	35.282
"129"	242.64	35.24
"130"	242.79	35.285
"131"	246.81	35.281
"132"	246.96	35.312
"133"	254.86	35.336
"134"	254.86	35.336
"135"	262.61	35.365
"136"	259.03	35.475
"137"	263.06	35.509
"138"	263.21	35.535
"139"	266.93	35.518
"140"	267.08	35.525
