"max_osc"
"1"	-0.55173
"2"	-0.6664
"3"	-0.69402
"4"	-0.69594
"5"	-0.68266
"6"	-0.53762
"7"	-0.29613
"8"	0.040691
"9"	1.1497
"10"	2.4458
"11"	2.6966
"12"	2.4195
"13"	2.4905
"14"	2.988
"15"	5.3766
"16"	5.4352
"17"	5.8863
"18"	6.1182
"19"	6.5094
"20"	6.4939
"21"	6.8309
"22"	7.0716
"23"	6.921
"24"	6.9902
"25"	7.1375
"26"	7.1672
"27"	7.34
"28"	7.2327
"29"	7.4218
"30"	7.43
"31"	7.4898
"32"	7.575
"33"	7.5911
"34"	7.7735
"35"	7.9438
"36"	8.253
"37"	8.2674
"38"	9.4743
"39"	9.9486
"40"	10.04
"41"	10.404
"42"	10.942
"43"	11.242
"44"	11.368
"45"	12.999
"46"	13.17
"47"	13.256
"48"	13.377
"49"	13.767
"50"	14.022
"51"	14.052
"52"	14.111
"53"	14.193
"54"	14.48
"55"	14.976
"56"	14.906
"57"	14.95
"58"	15.138
