time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	 	time s (min)	psi Min	derivative psiMin
0.0000	0.73114	0.52358	1.2202	0.11935		0.78538	0.16843	0.33915
0.13090	0.88732	1.8325	1.3765	-0.00021375		2.2252	0.65676	-0.22769
0.26179	1.0214	3.1415	1.3762	0.018945		3.2724	0.41834	-0.026777
0.39269	1.1530	4.3196	1.3985	0.029908		4.5814	0.38329	0.083430
0.52358	1.2202	5.6285	1.4376	-0.015365		5.8903	0.49249	0.041055
0.65448	0.51347	6.8066	1.4195	0.029124		7.0684	0.54086	-0.0075546
0.78538	0.16843	8.1156	1.4577	0.016872		8.3774	0.53097	0.036769
0.91627	0.34858	9.4245	1.4798	0.097312		9.6863	0.57910	0.015570
1.0472	0.56512	10.603	1.5944	0.10950		10.864	0.59744	0.14549
1.1781	0.74531	11.912	1.7377	0.16299		12.173	0.78788	0.029738
1.3090	0.87178	13.351	1.9724	0.18200		14.006	0.84238	0.15029
1.4399	1.0007	14.660	2.2106	0.18762		14.922	0.98009	0.22691
1.5708	1.1510	15.969	2.4562	0.063073		16.231	1.2771	0.086241
1.7016	1.2788	17.278	2.5388	0.44776		17.540	1.3900	0.40082
1.8325	1.3765	18.849	3.2421	-0.28631		19.111	2.0196	-0.10740
1.9634	1.1896	20.027	2.9048	0.035798		20.289	1.8930	0.041619
2.0943	0.68682	21.205	2.9470	0.030529		21.598	1.9475	0.0078552
2.2252	0.65676	22.514	2.9870	-0.0012537		22.776	1.9568	-0.031843
2.3561	0.74170	23.823	2.9853	-0.037773		24.085	1.9151	-0.0067053
2.4870	0.86556	25.001	2.9408	0.0035110		25.263	1.9072	0.015949
2.6179	0.99114	26.310	2.9454	0.021433		26.572	1.9281	0.035017
2.7488	1.1606	27.488	2.9707	-0.019522		27.750	1.9693	-0.0086616
2.8797	1.2725	28.797	2.9451	0.28919		29.059	1.9580	0.12790
3.0106	1.3714	30.237	3.3615	0.10186		30.368	2.1254	0.10032
3.1415	1.3762	31.415	3.4815	0.052608		31.677	2.2567	0.013905
3.2724	0.41834	32.724	3.5504	0.063314		32.855	2.2731	0.045505
