time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	J	time s (min)	psi Min	derivative psiMin
10.745	1.5466	229.45	10.073	0.091226		221.19	8.2234	0.17212
10.876	1.6125	232.46	10.348	-0.021839		224.34	8.7647	0.039130
11.007	1.6893	234.95	10.294	0.16612		227.22	8.8775	-0.0031600
11.138	1.7725	238.23	10.838	0.055495		229.97	8.8688	0.043023
11.269	1.8068	240.98	10.991	0.0055464		232.85	8.9929	-0.010310
11.400	1.7892	243.73	11.006	0.042598		235.34	8.9672	0.21833
11.531	0.89504	246.48	11.123	-0.0085955		238.62	9.6824	0.0055138
11.662	0.47504	249.23	11.099	0.0060719		241.37	9.6976	0.00021903
11.793	0.48192	251.86	11.115	-0.0068688		244.12	9.6982	0.027131
11.924	0.53143	254.48	11.097	0.028367		246.74	9.7693	0.0049649
12.056	0.56739	257.23	11.175	-0.0085769		249.50	9.7830	0.085563
12.187	0.61179	259.85	11.153	0.021785		252.25	10.018	-0.0012729
12.318	0.65385	262.60	11.213	0.075503		254.87	10.015	0.012144
12.449	0.70824	265.35	11.421	-0.031803		257.62	10.049	-0.061177
12.580	0.79914	267.97	11.337	-0.047136		260.24	9.8882	0.018505
12.711	0.89022	270.33	11.226	0.023946		262.99	9.9391	0.030828
12.842	1.0107	273.35	11.298	-0.00032605		265.75	10.024	0.017191
12.973	1.2957	275.97	11.297	0.0047077		268.50	10.071	0.014190
13.104	1.4884	278.72	11.310	0.096092		270.99	10.107	0.0047091
13.235	1.5681	281.60	11.587	0.042989		273.74	10.120	0.012751
13.366	1.6300	284.35	11.706	-0.0063084		276.36	10.153	0.0010314
13.497	1.7175	286.97	11.689	0.046181		279.11	10.156	0.043109
13.628	1.7729	289.86	11.822	-0.16806		282.13	10.286	-0.0060362
13.759	1.8133	292.22	11.426			284.75	10.270	0.029084
13.890	1.8447					287.50	10.350	-0.0015953
14.021	1.8734					290.12	10.346	-0.071009
14.152	1.8505					292.48	10.178	
14.283	1.3880							
14.414	0.67819							
14.545	0.59604							
14.676	0.59663							
14.807	0.61147							
14.938	0.64927							
15.069	0.73306							
15.200	0.83704							
15.331	1.0589							
15.463	1.2208							
15.594	1.3832							
15.725	1.5106							
15.856	1.5763							
15.987	1.6197							
16.118	1.6614							
16.249	1.7171							
16.380	1.7615							
16.511	1.7654							
16.642	1.7655							
16.773	1.6885							
16.904	0.59320							
17.035	0.50500							
17.166	0.50112							
17.297	0.53196							
17.428	0.58058							
17.559	0.63267							
17.690	0.68463							
17.821	0.74919							
17.952	0.87315							
18.083	0.97650							
18.214	1.1435							
18.345	1.3902							
18.476	1.5142							
18.607	1.5869							
18.738	1.6153							
18.870	1.6574							
19.001	1.7143							
19.132	1.7660							
19.263	1.7917							
19.394	1.7977							
19.525	1.5316							
19.656	1.1343							
19.787	0.97796							
19.918	0.89263							
20.049	0.88084							
20.180	0.92566							
20.311	0.84203							
20.442	0.95173							
20.573	1.0834							
20.704	1.1559							
20.835	1.3225							
20.966	1.4649							
21.097	1.5457							
21.228	1.5939							
21.359	1.6314							
21.490	1.6635							
21.621	1.7064							
21.752	1.7618							
21.883	1.8059							
22.014	1.8132							
22.145	1.6810							
22.276	0.82063							
22.408	0.71813							
22.539	0.69420							
22.670	0.70303							
22.801	0.70149							
22.932	0.73731							
23.063	0.80286							
23.194	0.86787							
23.325	0.95254							
23.456	1.0104							
23.587	1.0787							
23.718	1.3530							
23.849	1.4934							
23.980	1.5618							
24.111	1.5957							
24.242	1.6349							
24.373	1.6624							
24.504	1.6900							
24.635	1.7054							
24.766	1.6718							
24.897	0.88062							
25.028	0.57314							
25.159	0.55387							
25.290	0.59071							
25.421	0.62553							
25.552	0.68638							
25.683	0.74097							
