time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	 	time s (min)	psi Min	derivative psiMin
0.0000	-1.2592	2.0730	-0.55173	-0.027658		2.7640	-1.8686	-0.037247
0.13820	-1.0511	6.2190	-0.66640	-0.0068902		6.7718	-2.0178	-0.018992
0.27640	-1.0072	10.227	-0.69402	-0.00043577		11.056	-2.0992	0.0010971
0.41460	-0.95960	14.649	-0.69594	0.0031012		15.340	-2.0945	0.015862
0.55280	-0.92803	18.933	-0.68266	0.030868		19.624	-2.0266	0.054916
0.69100	-0.88608	23.632	-0.53762	0.062407		24.185	-1.7761	0.062461
0.82920	-0.84079	27.502	-0.29613	0.073854		28.055	-1.5344	0.051667
0.96740	-0.79871	32.062	0.040691	0.19573		32.477	-1.3059	0.24522
1.1056	-0.76205	37.729	1.1497	0.25439		39.111	0.32077	0.15818
1.2438	-0.73094	43.809	2.6966	-0.077116		44.224	1.1296	-0.063526
1.3820	-0.70263	47.403	2.4195	-0.067085		47.955	0.89258	-0.032898
1.5202	-0.67548	51.272	2.1600	0.075543		51.825	0.76528	0.039976
1.6584	-0.62661	55.833	2.5045	0.33135		56.386	0.94760	0.58036
1.7966	-0.59089	64.678	5.4352	0.079614		61.361	3.8350	0.022656
1.9348	-0.56182	70.344	5.8863	0.041954		65.092	3.9195	0.089859
2.0730	-0.55173	75.872	6.1182	0.069125		71.173	4.4659	0.066476
2.2112	-0.55310	81.538	6.5099	0.058058		76.563	4.8242	0.066867
2.3494	-0.66480	87.066	6.8309	0.044659		82.229	5.2031	0.084036
2.4876	-1.7236	92.456	7.0716	-0.031124		87.757	5.6677	0.052338
2.6258	-1.8636	97.293	6.9210	0.013526		93.423	5.9642	-0.0057120
2.7640	-1.8686	102.41	6.9902	0.032655		98.260	5.9366	-0.026989
2.9022	-1.8454	107.66	7.1617	0.033965		103.24	5.8023	0.010919
3.0404	-1.8063	112.91	7.3400	-0.023533		108.35	5.8582	0.045364
3.1786	-1.7435	117.47	7.2327	0.034205		113.60	6.0964	-0.031423
3.3168	-1.6822	123.00	7.4218	0.0016470		118.44	5.9444	0.038066
3.4550	-1.6133	127.97	7.4300	0.026235		123.69	6.1443	0.043595
3.5932	-1.5188	133.50	7.5750	0.0033269		129.08	6.3793	0.031726
3.7314	-1.3701	138.34	7.5911	0.033843		134.19	6.5415	0.034673
3.8696	-1.2939	143.73	7.7735	0.032419		139.31	6.7188	0.015776
4.0078	-1.2266	148.98	7.9438	0.058538		144.56	6.8016	0.0022769
4.1460	-1.1771	154.51	8.2674	0.16794		149.67	6.8133	0.064010
4.2842	-1.1360	161.69	9.4743	0.099893		156.30	7.2379	0.46884
4.4224	-1.0887	167.36	10.040	0.064133		158.10	8.0802	0.075095
4.5606	-1.0473	173.03	10.404	0.092722		162.38	8.4019	0.054717
4.6988	-0.99838	178.83	10.942	0.054806		167.91	8.7044	0.065644
4.8370	-0.94737	184.36	11.245	0.10331		173.86	9.0945	0.081042
4.9752	-0.89858	189.33	11.759	0.42734		179.52	9.5537	0.045077
5.1134	-0.85491	192.24	12.999	0.048999		184.91	9.7967	0.42342
5.2516	-0.82319	197.49	13.256	0.022924		189.47	11.728	0.029846
5.3898	-0.78885	202.74	13.377	0.067222		192.93	11.831	0.048248
5.5280	-0.75920	208.54	13.767	0.047360		198.46	12.098	0.0033698
5.6662	-0.72346	213.93	14.022	0.017757		203.43	12.114	0.050271
5.8044	-0.69948	218.91	14.111	0.015216		209.23	12.406	0.046839
5.9426	-0.68484	224.30	14.193	0.056142		214.62	12.659	0.0087581
6.0808	-0.68185	229.41	14.480	0.079655		219.60	12.702	0.038895
6.2190	-0.66640	234.53	14.887	0.010795		224.85	12.906	0.032916
6.3572	-0.69681	240.33	14.950	0.037889		230.10	13.079	0.033656
6.4954	-1.5120	245.30	15.138			240.88	13.442	0.030442
6.6336	-1.9606					246.00	13.598	
6.7718	-2.0178							
6.9100	-2.0041							
7.0482	-1.9658							
7.1864	-1.9105							
7.3246	-1.8255							
7.4628	-1.7326							
7.6010	-1.6727							
7.7392	-1.5948							
7.8774	-1.4697							
8.0156	-1.3719							
8.1538	-1.3000							
8.2920	-1.2447							
8.4302	-1.1944							
8.5684	-1.1428							
8.7066	-1.1021							
8.8448	-1.0580							
8.9830	-1.0236							
9.1212	-0.97631							
9.2594	-0.93315							
9.3976	-0.90078							
9.5358	-0.87042							
9.6740	-0.84522							
9.8122	-0.78365							
9.9504	-0.74314							
10.089	-0.72280							
10.227	-0.69402							
10.365	-0.70377							
10.503	-0.71931							
10.641	-1.5928							
10.780	-2.0428							
10.918	-2.0969							
11.056	-2.0992							
11.194	-2.0798							
11.332	-2.0359							
11.471	-1.9638							
11.609	-1.9067							
11.747	-1.8166							
11.885	-1.7260							
12.023	-1.6367							
12.162	-1.5233							
12.300	-1.4173							
12.438	-1.3552							
12.576	-1.2817							
12.714	-1.2259							
12.853	-1.1881							
12.991	-1.1383							
13.129	-1.1036							
13.267	-1.0540							
13.405	-1.0179							
13.544	-0.96994							
13.682	-0.93657							
13.820	-0.89901							
13.958	-0.83678							
14.096	-0.81213							
14.235	-0.76453							
14.373	-0.74431							
14.511	-0.72268							
14.649	-0.69594							
14.787	-0.70089							
14.926	-0.73816							
15.064	-1.9252							
15.202	-2.0861							
15.340	-2.0945							
15.478	-2.0567							
15.617	-2.0154							
15.755	-1.9441							
15.893	-1.8721							
16.031	-1.7842							
16.169	-1.6869							
16.308	-1.6008							
16.446	-1.5135							
16.584	-1.4131							
16.722	-1.3148							
16.860	-1.2363							
16.999	-1.1959							
17.137	-1.1455							
17.275	-1.0959							
17.413	-1.0292							
17.551	-1.0002							
17.690	-0.97553							
17.828	-0.92280							
17.966	-0.88742							
18.104	-0.83596							
18.242	-0.80018							
18.381	-0.76555							
18.519	-0.74999							
18.657	-0.72037							
18.795	-0.71208							
18.933	-0.68266							
19.072	-0.68703							
19.210	-0.70336							
19.348	-1.3370							
19.486	-1.9262							
19.624	-2.0266							
19.763	-2.0195							
19.901	-2.0048							
20.039	-1.9602							
20.177	-1.8893							
20.315	-1.8237							
20.454	-1.7329							
20.592	-1.6479							
20.730	-1.5577							
20.868	-1.4608							
21.006	-1.3681							
21.145	-1.2845							
21.283	-1.2407							
21.421	-1.1934							
21.559	-1.1093							
21.697	-1.0511							
