time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	J	time s (min)	psi Min	derivative psiMin
0.0000	-0.54098	3.1299	0.43859	0.020295		0.29808	-0.74233	0.023442
0.14904	-0.73454	5.6636	0.49001	0.018922		3.2789	-0.67246	-0.035578
0.29808	-0.74233	8.9425	0.55206	0.014324		6.1107	-0.77321	0.037074
0.44712	-0.72059	12.221	0.59902	0.0051450		9.5387	-0.64612	0.011809
0.59617	-0.69458	15.649	0.61666	0.041333		12.818	-0.60740	0.00016509
0.74521	-0.63590	18.928	0.75219	0.0088500		16.097	-0.60686	0.016494
0.89425	-0.56599	22.356	0.78252	0.0051799		19.524	-0.55032	0.020310
1.0433	-0.48465	25.635	0.79951	-0.019972		22.952	-0.48069	-0.0085266
1.1923	-0.41654	28.765	0.73700	0.026535		26.082	-0.50738	-0.020721
1.3414	-0.33039	32.193	0.82796	0.0060354		29.361	-0.57533	0.021232
1.4904	-0.23838	35.621	0.84865	0.085606		32.640	-0.50571	0.043496
1.6395	-0.13706	38.751	1.1166	0.034742		35.919	-0.36308	0.023700
1.7885	-0.051279	42.626	1.2512	0.11160		39.347	-0.28184	0.066295
1.9375	0.039456	46.203	1.6504	0.042348		43.073	-0.034824	0.12288
2.0866	0.11943	49.482	1.7892	0.042110		46.650	0.40474	0.041824
2.2356	0.20501	52.910	1.9336	0.051784		50.078	0.54811	0.047055
2.3847	0.25782	56.338	2.1111	0.029673		53.506	0.70941	0.030224
2.5337	0.30260	59.766	2.2128	-0.0040259		57.083	0.81752	0.0058259
2.6827	0.34677	63.045	2.1996	0.011569		60.213	0.83576	-0.0070847
2.8318	0.38309	66.324	2.2376	-0.024707		63.492	0.81253	0.0096357
2.9808	0.42026	69.453	2.1602	-0.020857		66.771	0.84412	0.010737
3.1299	0.43859	72.732	2.0918	0.019839		70.050	0.87933	-0.0044759
3.2789	-0.67246	76.011	2.1569	0.15903		73.179	0.86532	0.016346
3.4280	-0.62108	80.035	2.7969	-0.058585		76.607	0.92135	0.18395
3.5770	-0.53122	83.016	2.6222	0.21511		80.781	1.6890	-0.040478
3.7260	-0.44803	87.338	3.5520	0.13937		83.761	1.5684	0.20079
3.8751	-0.36423	90.915	4.0505	0.25454		87.935	2.4063	0.092663
4.0241	-0.28310	95.536	5.2266	0.36000		91.512	2.7378	0.21141
4.1732	-0.18890	100.75	7.1045	0.064980		96.281	3.7461	0.42511
4.3222	-0.056937	104.18	7.3272	0.25228		101.05	5.7735	0.11110
4.4713	0.093059	107.91	8.2672	0.82912		104.78	6.1875	0.49707
4.6203	0.19816	111.63	11.357	0.068974		112.23	9.8917	0.035531
4.7693	0.26564	115.06	11.593	0.22178		115.51	10.008	0.23100
4.9184	0.32176	119.23	12.519	-0.014535		119.83	11.007	0.61596
5.0674	0.37437	122.07	12.477	0.95433		122.21	12.475	0.42802
5.2165	0.40882	125.19	15.464	0.045556		126.24	14.198	0.038984
5.3655	0.44609	129.22	15.648	0.056241		129.67	14.332	0.064030
5.5145	0.48331	132.65	15.840	0.023751		133.24	14.561	0.00062098
5.6636	0.49001	135.93	15.918	0.038658		136.37	14.563	0.029359
5.8126	0.39403	139.35	16.051	-0.0091112		139.80	14.663	0.033932
5.9617	-0.74104	142.63	16.021	0.037997		143.08	14.774	0.018910
6.1107	-0.77321	146.06	16.151	0.096415		146.51	14.839	0.12447
6.2597	-0.73378	149.49	16.482	0.021059		150.38	15.322	0.0076689
6.4088	-0.69158	153.07	16.557	-0.061562		153.96	15.349	0.76291
6.5578	-0.62008	155.90	16.383	0.79523		164.09	23.081	0.10958
6.7069	-0.54532	166.03	24.442	0.21174		166.78	23.375	0.20019
6.8559	-0.45912	171.55	25.610	0.38373		171.99	24.419	0.37918
7.0050	-0.37868	179.30	28.584	0.12456		179.74	27.358	0.12392
7.1540	-0.29855	183.77	29.141	0.086307		184.51	27.949	0.099525
7.3030	-0.14890	188.54	29.552	0.30944		188.98	28.394	0.29020
7.4521	0.045997	194.65	31.443	0.083395		195.24	30.211	0.059490
7.6011	0.14646	199.12	31.816	0.13074		199.57	30.468	0.13885
7.7502	0.20756	204.19	32.479	0.22974		204.63	31.171	0.21604
7.8992	0.28631	209.55	33.711	0.16430		210.00	32.330	0.19390
8.0483	0.35251	214.77	34.568	-0.051565		215.22	33.342	0.022742
8.1973	0.39634	218.35	34.384	0.092774		218.94	33.427	0.018749
8.3463	0.43181	222.82	34.799	0.074270		223.26	33.508	0.071263
8.4954	0.47258	227.14	35.120	0.011820		227.59	33.816	0.0064508
8.6444	0.49893	231.16	35.167	0.016928		231.76	33.843	0.025832
8.7935	0.54042	235.04	35.233	0.018913		235.78	33.947	0.010109
8.9425	0.55206	239.06	35.309	-0.0012453		239.66	33.986	0.011597
9.0915	0.54114	242.94	35.304	0.0061592		243.68	34.032	-0.0089449
9.2406	-0.14530	247.11	35.330	0.0074974		247.71	33.996	0.052380
9.3896	-0.60462	251.14	35.360	0.0032439		251.58	34.199	-0.0068786
9.5387	-0.64612	255.16	35.373	0.033576		255.76	34.171	0.053147
9.6877	-0.62641	259.33	35.513	0.0080055		259.93	34.393	0.012900
9.8368	-0.61594	263.36	35.546	-0.0042556		264.10	34.446	-0.0095705
9.9858	-0.56387	267.23	35.529			267.98	34.409	
10.135	-0.46491							
10.284	-0.36842							
10.433	-0.26826							
10.582	-0.083754							
10.731	0.093522							
10.880	0.19807							
11.029	0.29551							
11.178	0.35556							
11.327	0.40409							
11.476	0.44732							
11.625	0.49513							
11.774	0.51846							
11.923	0.55868							
12.072	0.58599							
12.221	0.59902							
12.370	0.57980							
12.519	-0.30455							
12.669	-0.59031							
12.818	-0.60740							
12.967	-0.58607							
13.116	-0.53806							
13.265	-0.48280							
13.414	-0.42997							
13.563	-0.35902							
13.712	-0.26192							
13.861	-0.13895							
14.010	0.016073							
14.159	0.18869							
14.308	0.26004							
14.457	0.31070							
14.606	0.36412							
14.755	0.41993							
14.904	0.47375							
15.053	0.51965							
15.202	0.56120							
15.351	0.59918							
15.500	0.61193							
15.649	0.61666							
15.798	0.53324							
15.947	-0.52383							
16.097	-0.60686							
16.246	-0.59085							
